                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.38087,                0.24371,                0.78516,                0.40494,                0.14322,                 0.7848,                0.94351,                 0.8556,                0.91888,                0.59838,                 1.1679,                0.66802,                 1.0564,                 1.2545,                 0.8693,                 1.0596,             0.00055456,             0.00055456,             0.00055456
                     36,                0.36521,                 0.2365,                 0.7834,                0.38639,                0.13972,                0.78244,                0.94702,                0.86535,                0.92635,                 0.6032,                 1.1663,                 0.6399,                  1.058,                 1.2455,                0.81608,                 1.0609,             0.00052288,             0.00052288,             0.00052288
                     37,                0.35499,                0.23201,                0.78189,                0.37661,                0.13589,                0.78161,                0.93979,                0.86258,                0.92075,                0.59933,                 1.1668,                  0.669,                 1.0625,                 1.2501,                0.82499,                  1.068,              0.0004912,              0.0004912,              0.0004912
                     38,                0.33963,                 0.2261,                0.77981,                0.35658,                0.12817,                0.77876,                0.95169,                0.85881,                0.92406,                0.60291,                 1.1648,                 0.6198,                 1.0583,                 1.2481,                0.81663,                 1.0625,             0.00045952,             0.00045952,             0.00045952
                     39,                0.31817,                 0.2166,                0.77827,                0.33769,                0.12079,                0.77744,                0.93874,                0.87159,                0.92483,                0.60311,                 1.1636,                0.63805,                 1.0628,                 1.2537,                0.80861,                 1.0662,             0.00042784,             0.00042784,             0.00042784
                     40,                0.30734,                0.21162,                0.77664,                0.32678,                0.12092,                0.77592,                0.96059,                0.85196,                0.92269,                0.60336,                 1.1579,                0.67573,                 1.0595,                 1.2403,                0.85273,                  1.063,             0.00039616,             0.00039616,             0.00039616
                     41,                0.29243,                0.20515,                0.77528,                0.30883,                0.11569,                 0.7742,                 0.9377,                0.87132,                0.92087,                0.59983,                 1.1604,                0.64593,                 1.0594,                 1.2454,                0.84282,                 1.0665,             0.00036448,             0.00036448,             0.00036448
                     42,                0.28021,                0.20159,                 0.7739,                0.29638,                0.11098,                0.77272,                0.95382,                 0.8749,                0.93133,                0.60798,                 1.1579,                0.63775,                 1.0643,                 1.2394,                0.80618,                 1.0685,              0.0003328,              0.0003328,              0.0003328
                     43,                0.26483,                0.19305,                0.77276,                0.27877,                0.10625,                0.77153,                0.95507,                0.87453,                0.93138,                0.60855,                 1.1554,                0.61476,                 1.0598,                  1.241,                0.81194,                 1.0664,             0.00030112,             0.00030112,             0.00030112
                     44,                0.24971,                0.18616,                0.77142,                 0.2637,                0.09988,                 0.7702,                0.94183,                0.88169,                0.93076,                0.60739,                 1.1603,                0.63198,                 1.0671,                   1.24,                0.80793,                 1.0692,             0.00026944,             0.00026944,             0.00026944
                     45,                0.23776,                0.18012,                0.77043,                0.25186,                0.09631,                0.76915,                 0.9512,                0.87285,                0.92886,                0.61091,                 1.1486,                 0.6555,                 1.0644,                 1.2326,                0.84111,                 1.0682,             0.00023776,             0.00023776,             0.00023776
                     46,                0.22436,                0.17368,                0.76938,                0.23724,                0.09303,                0.76804,                0.95012,                0.87588,                0.93066,                0.61011,                 1.1555,                0.63089,                 1.0636,                 1.2362,                0.81694,                 1.0658,             0.00020608,             0.00020608,             0.00020608
                     47,                0.20902,                0.16565,                0.76918,                0.22129,                0.08797,                0.76795,                  0.951,                0.87692,                0.93122,                0.60827,                 1.1505,                0.63714,                 1.0657,                 1.2338,                0.81123,                 1.0677,              0.0001744,              0.0001744,              0.0001744
                     48,                0.19586,                0.15963,                0.76758,                0.20645,                0.08385,                0.76611,                0.94437,                0.89016,                0.93319,                0.61105,                 1.1473,                0.63871,                 1.0643,                  1.231,                0.81591,                 1.0688,             0.00014272,             0.00014272,             0.00014272
                     49,                0.18677,                0.15546,                0.76705,                0.19612,                0.08239,                0.76544,                0.94573,                0.88866,                0.93459,                0.61214,                 1.1476,                0.64014,                  1.065,                 1.2329,                0.81436,                   1.07,             0.00011104,             0.00011104,             0.00011104
                     50,                0.17577,                0.14908,                0.76638,                0.18615,                0.07768,                0.76461,                0.93325,                0.89112,                0.93314,                0.61233,                 1.1477,                0.65305,                 1.0667,                 1.2328,                0.83555,                 1.0698,              7.936e-05,              7.936e-05,              7.936e-05
